Issue Number,Date Published,English[0],English[1],Farsi[0],Farsi[1],Arabic[0],Arabic[1]
42,2018-09-28,https://archive.org/details/grenfell-support-news-issue-42,,https://archive.org/details/grenfell-support-news-issue-42-farsi,,https://archive.org/details/grenfell-support-news-issue-42-arabic,
43,2018-10-05,https://archive.org/details/grenfell-support-news-issue-43,,https://archive.org/details/grenfell-support-news-issue-43-farsi,,https://archive.org/details/grenfell-support-news-issue-43-arabic,
44,2018-10-12,https://archive.org/details/grenfell-support-news-issue-44,,https://archive.org/details/grenfell-support-news-issue-44-farsi,,https://archive.org/details/grenfell-support-news-issue-44-arabic,
45,2018-10-19,https://archive.org/details/grenfell-support-news-issue-45,,https://archive.org/details/grenfell-support-news-issue-45-farsi,,https://archive.org/details/grenfell-support-news-issue-45-arabic,
46,2018-10-26,https://archive.org/details/grenfell-support-news-issue-46,,https://archive.org/details/grenfell-support-news-issue-46-farsi,,https://archive.org/details/grenfell-support-news-issue-46-arabic,
47,2018-11-02,https://archive.org/details/grenfell-support-news-issue-47,,https://archive.org/details/grenfell-support-news-issue-47-farsi,,https://archive.org/details/grenfell-support-news-issue-47-arabic,
48,2018-11-09,https://archive.org/details/grenfell-support-news-issue-48,,https://archive.org/details/grenfell-support-news-issue-48-farsi,,https://archive.org/details/grenfell-support-news-issue-48-arabic,
49,2018-11-16,https://archive.org/details/grenfell-support-news-issue-49,,https://archive.org/details/grenfell-support-news-issue-49-farsi,,https://archive.org/details/grenfell-support-news-issue-49-arabic,
50,2018-11-23,https://archive.org/details/grenfell-support-news-issue-50,,https://archive.org/details/grenfell-support-news-issue-50-farsi,,https://archive.org/details/grenfell-support-news-issue-50-arabic,
51,2018-11-30,https://archive.org/details/grenfell-support-news-issue-51,,https://archive.org/details/grenfell-support-news-issue-51-farsi,,https://archive.org/details/grenfell-support-news-issue-51-arabic,
52,2018-12-07,https://archive.org/details/grenfell-support-news-issue-52,,https://archive.org/details/grenfell-support-news-issue-52-farsi,,https://archive.org/details/grenfell-support-news-issue-52-arabic,
53,2018-12-14,https://archive.org/details/grenfell-support-news-issue-53,,https://archive.org/details/grenfell-support-news-issue-53-farsi,,https://archive.org/details/grenfell-support-news-issue-53-arabic,
54,2018-12-20,https://archive.org/details/grenfell-support-news-issue-54,,https://archive.org/details/grenfell-support-news-issue-54-farsi,,https://archive.org/details/grenfell-support-news-issue-54-arabic,
