Hash Format,Ordered By,Size,SHA1 file hash,File,Torrent,Mirror
SHA-1,Prevalence,12.5GB,5c496cf2b75e6084e993605eaeedcf660e4f50d9,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-sha1-ordered-by-count-v7.7z,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-sha1-ordered-by-count-v7.7z.torrent,https://archive.org/download/pwned-passwords-version-7/pwned-passwords-sha1-ordered-by-count-v7.7z
SHA-1,Hash,10.9GB,f0447a064aee7e3b658959fab54dba79b926f429,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-sha1-ordered-by-hash-v7.7z,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-sha1-ordered-by-hash-v7.7z.torrent,https://archive.org/download/pwned-passwords-version-7/pwned-passwords-sha1-ordered-by-hash-v7.7z
NTLM,Prevalence,10GB,0a7ae9d67718d81ebca661342febf49bfac409ed,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-ntlm-ordered-by-count-v7.7z,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-ntlm-ordered-by-count-v7.7z.torrent,https://archive.org/download/pwned-passwords-version-7/pwned-passwords-ntlm-ordered-by-count-v7.7z
NTLM,Hash,8.5GB,00bbc01153ff35b600b4e938d31c91ddd02affd4,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-ntlm-ordered-by-hash-v7.7z,https://downloads.pwnedpasswords.com/passwords/pwned-passwords-ntlm-ordered-by-hash-v7.7z.torrent,https://archive.org/download/pwned-passwords-version-7/pwned-passwords-ntlm-ordered-by-hash-v7.7z
