Hash Format,Ordered By,Size,SHA1 file hash,File
SHA-1,Prevalence,8.8GB,c267424e7d2bb5b10adff4d776fa14b0967bf0cc,https://archive.org/download/pwned-passwords-version-2/pwned-passwords-2.0.txt.7z
SHA-1,Hash,9.78GB,87437926c6293d034a259a2b86a2d077e7fd5a63,https://archive.org/download/pwned-passwords-version-2/pwned-passwords-ordered-2.0.txt.7z
