Issue Number,Date Published,English,Farsi,Arabic
40,2017-08-19,https://archive.org/details/grenfell-fire-response-news-issue-40,https://archive.org/details/grenfell-fire-response-news-issue-40-farsi,https://archive.org/details/grenfell-fire-response-news-issue-40-arabic
41,2017-08-22,https://archive.org/details/grenfell-fire-response-news-issue-41,https://archive.org/details/grenfell-fire-response-news-issue-41-farsi,https://archive.org/details/grenfell-fire-response-news-issue-41-arabic
42,2017-08-26,https://archive.org/details/grenfell-fire-response-news-issue-42,https://archive.org/details/grenfell-fire-response-news-issue-42-farsi,https://archive.org/details/grenfell-fire-response-news-issue-42-arabic
43,2017-08-31,https://archive.org/details/grenfell-fire-response-news-issue-43,https://archive.org/details/grenfell-fire-response-news-issue-43-farsi,https://archive.org/details/grenfell-fire-response-news-issue-43-arabic
44,2017-09-02,https://archive.org/details/grenfell-fire-response-news-issue-44,https://archive.org/details/grenfell-fire-response-news-issue-44-farsi,https://archive.org/details/grenfell-fire-response-news-issue-44-arabic
45,2017-09-04,https://archive.org/details/grenfell-fire-response-news-issue-45,https://archive.org/details/grenfell-fire-response-news-issue-45-farsi,https://archive.org/details/grenfell-fire-response-news-issue-45-arabic
46,2017-09-07,https://archive.org/details/grenfell-fire-response-news-issue-46,https://archive.org/details/grenfell-fire-response-news-issue-46-farsi,https://archive.org/details/grenfell-fire-response-news-issue-46-arabic
47,2017-09-09,https://archive.org/details/grenfell-fire-response-news-issue-47,https://archive.org/details/grenfell-fire-response-news-issue-47-farsi,https://archive.org/details/grenfell-fire-response-news-issue-47-arabic
48,2017-09-12,https://archive.org/details/grenfell-fire-response-news-issue-48,https://archive.org/details/grenfell-fire-response-news-issue-48-farsi,https://archive.org/details/grenfell-fire-response-news-issue-48-arabic
49,2017-09-14,https://archive.org/details/grenfell-fire-response-news-issue-49,https://archive.org/details/grenfell-fire-response-news-issue-49-farsi,https://archive.org/details/grenfell-fire-response-news-issue-49-arabic
50,2017-09-16,https://archive.org/details/grenfell-response-news-issue-50,https://archive.org/details/grenfell-response-news-issue-50-farsi,https://archive.org/details/grenfell-response-news-issue-50-arabic
51,2017-09-19,https://archive.org/details/grenfell-response-news-issue-51,https://archive.org/details/grenfell-response-news-issue-51-farsi,https://archive.org/details/grenfell-response-news-issue-51-arabic
52,2017-09-21,https://archive.org/details/grenfell-response-news-issue-52,https://archive.org/details/grenfell-response-news-issue-52-farsi,https://archive.org/details/grenfell-response-news-issue-52-arabic
53,2017-09-28,https://archive.org/details/grenfell-response-news-issue-53,https://archive.org/details/grenfell-response-news-issue-53-farsi,https://archive.org/details/grenfell-response-news-issue-53-arabic
54,2017-10-12,https://archive.org/details/grenfell-response-news-issue-54,,
55,2017-10-19,https://archive.org/details/grenfell-response-news-issue-55,,
56,2017-10-27,https://archive.org/details/grenfell-response-news-issue-56,,
57,2017-11-03,https://archive.org/details/grenfell-response-news-issue-57,,
58,2017-11-10,https://archive.org/details/grenfell-response-news-issue-58,,
59,2017-11-17,https://archive.org/details/grenfell-response-news-issue-59,,
60,2017-11-24,https://archive.org/details/grenfell-response-news-issue-60,https://archive.org/details/grenfell-response-news-issue-60-farsi,https://archive.org/details/grenfell-response-news-issue-60-arabic
61,2017-12-02,https://archive.org/details/grenfell-response-news-issue-61,https://archive.org/details/grenfell-response-news-issue-61-farsi,https://archive.org/details/grenfell-response-news-issue-61-arabic
62,2017-12-08,https://archive.org/details/grenfell-response-news-issue-62,https://archive.org/details/grenfell-response-news-issue-62-farsi,https://archive.org/details/grenfell-response-news-issue-62-arabic
