Name,Constituency,National Party,European Parliament Group,Website,European Parliament Profile,Twitter,Facebook
Rory Palmer,East Midlands,Labour Party,S&D,https://rorypalmermep.tumblr.com/,http://www.europarl.europa.eu/meps/en/190099/Rory_PALMER_home.html,https://twitter.com/Rory_Palmer,https://www.facebook.com/RoryPalmerMEP
Alex Mayer,East of England,Labour Party,S&D,https://www.alexmayer.eu/,http://www.europarl.europa.eu/meps/en/185637/ALEX_MAYER_home.html,https://twitter.com/alexlmayer,
Claude Moraes,London,Labour Party,S&D,http://www.claudemoraes.com/,http://www.europarl.europa.eu/meps/en/4519/CLAUDE_MORAES_home.html,https://twitter.com/Claude_Moraes,https://www.facebook.com/ClaudeMoraesMEPLondon
Mary Honeyball,London,Labour Party,S&D,https://thehoneyballbuzz.com/,http://www.europarl.europa.eu/meps/en/5846/Mary%20HONEYBALL_home.html,https://twitter.com/maryhoneyball,https://www.facebook.com/mhoneyball
Seb Dance,London,Labour Party,S&D,http://www.sebdance.co.uk/,http://www.europarl.europa.eu/meps/en/124952/SEB_DANCE_home.html,https://twitter.com/SebDance,https://www.facebook.com/sebdanceinlondon
Lucy Anderson,London,Labour Party,S&D,http://www.lucyanderson.org/,http://www.europarl.europa.eu/meps/en/124949/LUCY_ANDERSON_home.html,https://twitter.com/LucyAndersonMEP,https://www.facebook.com/LucyAndersonMEP
Jude Kirton-Darling,North East England,Labour Party,S&D,https://www.northeastlabour.eu/,http://www.europarl.europa.eu/meps/en/124953/JUDE_KIRTON-DARLING_home.html,https://twitter.com/Jude_KD,https://www.facebook.com/jude.kirtondarling
Paul Brannen,North East England,Labour Party,S&D,https://www.northeastlabour.eu/,http://www.europarl.europa.eu/meps/en/124954/PAUL_BRANNEN_home.html,https://twitter.com/PaulBrannenNE,https://www.facebook.com/paulbrannenlabour
Julie Ward,North West England,Labour Party,S&D,http://www.juliewardmep.eu/,http://www.europarl.europa.eu/meps/en/124963/JULIE_WARD_home.html,https://twitter.com/julie4nw,https://www.facebook.com/julie4nw
Wajid Khan,North West England,Labour Party,S&D,https://www.wajidkhan.org/,http://www.europarl.europa.eu/meps/en/188624/WAJID_KHAN_home.html,https://twitter.com/WajidKhanMEP,https://www.facebook.com/WajidKhanMEP
Theresa Griffin,North West England,Labour Party,S&D,http://theresagriffin.eu/,http://www.europarl.europa.eu/meps/en/124961/THERESA_GRIFFIN_home.html,https://twitter.com/TheresaMEP,https://www.facebook.com/TheresaGriffinMEP/
Catherine Stihler,Scotland,Labour Party,S&D,http://www.cstihlermep.com/,http://www.europarl.europa.eu/meps/en/4545/CATHERINE_STIHLER_home.html,https://twitter.com/C_Stihler_MEP,https://www.facebook.com/catherine.stihler
David Martin,Scotland,Labour Party,S&D,http://www.martinmep.com/,http://www.europarl.europa.eu/meps/en/1403/DAVID_MARTIN_home.html,https://twitter.com/davidmartinmep,https://www.facebook.com/DavidMartinMEP
John Howarth,South East England,Labour Party,S&D,http://johnhowarthmep.uk/,http://www.europarl.europa.eu/meps/en/188636/JOHN_HOWARTH_home.html,https://twitter.com/JohnHowarth1958,https://www.facebook.com/johnhowarthmep
Clare Moody,South West England,Labour Party,S&D,https://www.claremoodymep.com/,http://www.europarl.europa.eu/meps/en/124944/CLARE_MOODY_home.html,https://twitter.com/ClareMoodyMEP,https://www.facebook.com/clare.moodymep/
Derek Vaughan,Wales,Labour Party,S&D,http://www.derekvaughanmep.org.uk/,http://www.europarl.europa.eu/meps/en/96918/DEREK_VAUGHAN_home.html,https://twitter.com/derekvaughan,
Siôn Simon,West Midlands,Labour Party,S&D,https://www.sion-simon.com/,http://www.europarl.europa.eu/meps/en/124948/SION_SIMON_home.html,https://twitter.com/sionsimon,https://www.facebook.com/SionSimonWestMidlands/
Neena Gill,West Midlands,Labour Party,S&D,http://www.neenagillmep.eu/,http://www.europarl.europa.eu/meps/en/4533/NEENA_GILL_home.html,https://twitter.com/NeenaGmep,https://www.facebook.com/NeenaGillMEP/
