Hash Format,Ordered By,Size,SHA1 file hash,File
SHA-1,Prevalence,11.0GB,59741e11e20a3fc4f29ae597972295dcb94cef39,https://archive.org/download/pwned-passwords-version-4/pwned-passwords-sha1-ordered-by-count-v4.7z
SHA-1,Hash,9.78GB,d81c649cda9cddb398f2b93c629718e14b7f2686,https://archive.org/download/pwned-passwords-version-4/pwned-passwords-sha1-ordered-by-hash-v4.7z
NTLM,Prevalence,8.85GB,2014695d9c4880aac69be031a1cc7c9eee4bcfb9,https://archive.org/download/pwned-passwords-version-4/pwned-passwords-ntlm-ordered-by-count-v4.7z
NTLM,Hash,7.58GB,ee7199ee2a1d8f23dd346d5b1fb2255e1ed8de8a,https://archive.org/download/pwned-passwords-version-4/pwned-passwords-ntlm-ordered-by-hash-v4.7z
