Hash Format,Ordered By,Size,SHA1 file hash,File
SHA-1,Prevalence,11.4GB,5c496cf2b75e6084e993605eaeedcf660e4f50d9,https://archive.org/download/pwned-passwords-version-6/pwned-passwords-sha1-ordered-by-count-v6.7z
SHA-1,Hash,10.1GB,f0447a064aee7e3b658959fab54dba79b926f429,https://archive.org/download/pwned-passwords-version-6/pwned-passwords-sha1-ordered-by-hash-v6.7z
NTLM,Prevalence,9.19GB,0a7ae9d67718d81ebca661342febf49bfac409ed,https://archive.org/download/pwned-passwords-version-6/pwned-passwords-ntlm-ordered-by-count-v6.7z
NTLM,Hash,7.86GB,00bbc01153ff35b600b4e938d31c91ddd02affd4,https://archive.org/download/pwned-passwords-version-6/pwned-passwords-ntlm-ordered-by-hash-v6.7z
