Party,Manifesto
Scottish National Party,https://archive.org/details/scottish-national-party-manifesto-2021
Scottish Conservatives,https://archive.org/details/scottish-conservatives-manifesto-2021
Scottish Labour,https://archive.org/details/scottish-labour-manifesto-2021
Scottish Greens,https://archive.org/details/scottish-greens-manifesto-2021
Scottish Liberal Democrats,https://archive.org/details/scottish-liberal-democrats-manifesto-2021
Scottish Libertarian Party,https://archive.org/details/scottish-libertarian-party-manifesto-2021
All for Unity, https://archive.org/details/all-for-unity-manifesto-2021
