Party,Manifesto
Conservative and Unionist Party,https://archive.org/details/conservative-and-unionist-party-manifesto-2017
Labour Party,https://archive.org/details/labour-party-manifesto-2017
Liberal Democrats,https://archive.org/details/liberal-democrats-manifesto-2017
Green Party,https://archive.org/details/green-party-manifesto-2017
Plaid Cymru,https://archive.org/details/plaid-cymru-manifesto-2017
Welsh Conservatives,https://archive.org/details/welsh-conservatives-manifesto-2017
Welsh Labour,https://archive.org/details/welsh-conservatives-manifesto-2017
Scottish National Party,https://archive.org/details/scottish-national-party-manifesto-2017
UK Independence Party,https://archive.org/details/ukip-manifesto-2017
