Hash Format,Ordered By,Size,SHA1 file hash,File
SHA-1,Prevalence,10.3GB,52a6341b7d7be5a847638f4ebf3c79606e3335f6,https://archive.org/download/pwned-passwords-version-3/pwned-passwords-ordered-by-count.7z
SHA-1,Hash,9.18GB,10c001292d52a04dc0fb58a7fb7dd0b6ea7f7212,https://archive.org/download/pwned-passwords-version-3/pwned-passwords-ordered-by-hash.7z
NTLM,Prevalence,8.3GB,83fd1ac8d843082d1c6585c582027a7eb04234df,https://archive.org/download/pwned-passwords-version-3/pwned-passwords-ntlm-ordered-by-count.7z
