Party,Manifesto
Ulster Unionist Party,https://archive.org/details/ulster-unionist-party-ni-assembly-manifesto-2022
Green Party Northern Ireland,https://archive.org/details/green-party-northern-ireland-ni-assembly-manifesto-2022
Traditional Unionist Voice,https://archive.org/details/tvu-ni-assembly-manifesto-2022
People Before Profit,https://archive.org/details/people-before-profit-ni-assembly-manifesto-2022
Alliance Party of Northern Ireland,https://archive.org/details/alliance-party-ni-assembly-manifesto-2022
Social Democratic and Labour Party,https://archive.org/details/sdlp-ni-assembly-manifesto-2022
Democratic Unionist Party,https://archive.org/details/dup-ni-assembly-manifesto-2022
Sinn Féin,https://archive.org/details/sinn-fein-assembly-manifesto-2022
